id,sin,cobertura,fec_ocu,causa,ent_mun,tipo_perd,monto_ded,monto_ocu
87004,683272,1,20230101,6,25006,1,6910,5045
244894,760440,1,20241004,6,25006,1,0,84985.84
90411,639959,1,20221112,6,25006,1,0,-12000
27215,625070,1,20220829,1,25006,1,0,-10000
10353,627155,1,20220908,6,25006,1,4665,18912.99
40254,612082,1,20220611,6,25006,1,20000,36217.89
38651,657093,1,20230101,6,25006,1,5140,4012
204330,691101,1,20230817,12,25006,1,0,294750
110261,694114,1,20230101,6,25006,1,0,0.01
124053,662677,1,20230309,6,25006,1,0,278100
214518,709312,1,20231216,6,25006,1,0,0
24552,616573,1,20220710,6,25006,3,0,0
74994,682180,1,20230101,7,25006,4,0,1544.13
269462,744539,1,20240707,7,25006,4,0,4232
46718,603112,1,20220428,7,25006,4,0,0
78580,643314,1,20221129,6,25006,5,0,3049
230388,743522,1,20240702,6,25006,5,0,9671
65056,618185,1,20220719,6,25006,5,0,3004
33057,645808,1,20221209,6,25006,5,0,0
103302,753471,1,20240101,6,25006,5,0,13084.76
168827,721499,1,20240301,6,25006,5,0,2218.08
112729,648821,1,20221224,6,25006,5,0,0.01
282687,745248,1,20240711,6,25006,5,0,16070.13
89591,681028,1,20230101,6,25006,5,0,14031
312622,755596,1,20240906,6,25006,5,0,2905.81
20879,601529,1,20220418,6,25009,1,3095,14972.1
43394,629366,1,20220918,6,25011,1,0,13059
43394,674871,1,20230101,6,25011,5,0,38674
153850,701664,1,20231027,6,25012,1,0,12781.5
45889,635020,1,20221020,6,25012,6,0,675000
108429,633555,1,20221013,2,25015,1,0,1520
233109,740698,1,20240618,7,25017,4,0,3317.29
122511,663064,1,20230311,6,25018,1,0,42701
107478,675328,1,20230101,7,26030,4,1525.75,7053.9
130961,665083,1,20230101,6,26030,5,0,8261.78
148860,715211,1,20240102,6,26048,1,2659,12845.98
155825,684173,1,20230704,6,26048,1,0,28550
149728,665890,1,20230317,6,26048,2,0,304665
120798,668119,1,20230401,7,26048,4,0,12774.73
277292,735464,1,20240520,7,26048,4,0,2241.12
206050,740437,1,20240615,6,27004,1,17700,86553.08
248736,712383,1,20240105,7,27004,4,0,0
156840,678258,1,20230602,6,28003,1,0,93917.48
18016,654221,1,20230101,6,28003,5,0,9786.99
220935,700582,1,20231020,6,28009,1,0,0.01
237498,760572,1,20241004,12,28009,1,0,13810.5
199834,703871,1,20231109,6,28009,1,0,3472
249656,723316,1,20240305,7,28009,4,2936,12737.21
235691,728936,1,20240415,7,28009,4,0,1480
22221,624910,1,20220826,18,28012,1,4811,233898.38
121599,677168,1,20230101,6,28015,1,10810,6608.5
21191,618424,1,20220721,7,28032,4,0,556
130781,679478,1,20230101,6,28038,1,0,0.01
24995,653262,1,20230101,6,28038,1,0,0.01
310413,750232,1,20240806,6,28038,1,0,12665.72
312828,747461,1,20240727,6,28038,1,5965,19966.94
179390,678051,1,20230603,6,28038,1,8925,14838.32
241670,723590,1,20240313,6,28038,1,8745,1098.8
193238,707724,1,20231204,6,28038,1,0,0
226732,739085,1,20240606,7,28038,4,7624,36488
241724,721982,1,20240303,7,28038,4,0,3200
19101,646866,1,20221215,7,28038,4,0,0
104282,660883,1,20230101,7,28038,4,0,1404
174477,709469,1,20231218,7,28038,4,0,3200
156868,707568,1,20231204,7,28038,4,0,3200
256171,759293,1,20240928,7,28038,4,0,2592
252840,766977,1,20241108,7,28038,4,0,2304
259354,722863,1,20240309,7,28038,4,0,1036
232531,707634,1,20231203,7,28038,4,0,3200
65284,668206,1,20230101,7,28038,4,0,17784
202918,695995,1,20230921,7,28038,4,0,1440
72593,671851,1,20230101,6,28038,5,0,17961.67
99306,628555,1,20220916,6,28038,5,0,4083.5
203665,716425,1,20240201,6,28038,5,0,2821
205180,701843,1,20231029,6,28042,1,13460,16657.7
232802,755953,1,20240820,6,30118,5,0,27175.22
275268,733599,1,20240514,6,30193,1,0,15000
121161,674634,1,20230517,6,31050,5,0,-93.99
72493,665419,1,20230101,7,32017,4,0,3196
165623,711063,1,20231220,7,32048,4,0,1920
228693,728209,1,20240410,6,1001,1,0,8993.5
206252,742314,1,20240621,6,1001,1,0,8983.45
28822,629820,1,20220923,6,1001,3,0,0
76720,618808,1,20220724,6,1001,3,0,7162.5
53565,643603,1,20221130,3,1001,3,0,4500
308459,744426,1,20240707,7,1001,4,0,3200
206033,702719,1,20231104,6,1001,5,0,12680
42894,655999,1,20230203,6,1001,5,0,3231.75
133334,705565,1,20231120,6,1005,1,0,-6000
198089,720586,1,20240223,6,2001,1,0,20933.15
289820,747742,1,20240728,6,2001,1,0,52020.78
96588,638269,1,20221103,6,2004,1,0,-300000
260253,743015,1,20240629,6,2004,5,0,4907.38
185186,698317,1,20231005,7,3008,4,0,0
272253,741382,1,20240607,6,4003,5,8295,45892.96
261126,715594,1,20240128,7,5002,4,0,6657.6
9973,638869,1,20221105,6,5030,1,0,0
37687,643104,1,20221128,6,5030,1,0,7247.05
84977,683501,1,20230101,7,5030,4,0,706.78
21315,591625,1,20220213,6,5033,1,0,15480
11574,651183,1,20230101,6,5035,1,0,3060
26159,639000,1,20221107,6,5035,1,0,-15000
79511,633117,1,20221011,7,5035,4,0,1364
58283,625110,1,20220829,6,5035,5,5645,16853.48
20351,642114,1,20221123,7,6002,4,0,2516
8519,622305,1,20220811,6,6002,5,0,3452.5
160017,666021,1,20230328,6,6007,1,0,15644.53
64934,613351,1,20220622,6,6007,5,0,18140.93
251632,752089,1,20240815,6,6007,5,0,16294.24
189177,732070,1,20240503,6,6009,1,0,0.01
198709,703843,1,20231109,7,6009,4,0,1278.4
284224,770162,1,20241127,6,6010,1,0,35000
268233,765548,1,20241031,6,8019,5,0,13000
332321,761161,2,20241008,6,9002,1,0,0
17330,605954,1,20220514,6,9003,3,0,0
193243,691187,1,20230814,6,9003,5,0,3000
217187,731669,1,20240501,6,9004,1,0,0
46977,611080,2,20220604,16,9004,2,0,474000
58359,624032,1,20220821,6,9004,3,0,69242.2
80619,632847,1,20221009,6,9007,1,0,-6000
17330,654049,1,20230101,6,9008,5,0,3000
216117,739153,1,20240607,6,9010,1,0,0
31930,616872,1,20220713,7,9010,4,552.24,2857.24
272453,751839,1,20240809,7,9010,4,414.8,1659.2
101639,667511,1,20230101,6,9010,5,0,6818.33
140775,707916,1,20230101,6,9013,1,0,90000
3562,612283,1,20220616,6,9013,5,0,43126.72
100793,639165,1,20221108,6,9014,5,0,42134.59
131745,655788,1,20230101,6,9014,5,0,14682.06
255682,722315,2,20240305,6,9015,1,0,0
107016,631920,1,20221005,6,9015,1,10530,13616.2
259284,722815,1,20240308,7,9015,4,2320,9280
296179,770321,1,20241127,6,9016,1,0,25000
310235,769364,1,20241123,6,9016,1,0,0
299966,740345,1,20240615,6,9017,1,0,0
280934,775289,1,20241221,6,10005,1,0,50000
263126,732745,1,20240507,6,10005,5,0,19849.33
49489,613237,1,20220621,6,11003,5,0,2821.59
119947,662797,1,20230101,6,11003,5,0,18678.28
102769,681791,1,20230623,6,11004,2,0,0
52841,632370,1,20221006,6,11007,1,14400,72789.58
256217,745897,1,20240705,1,11007,1,0,0
138104,653090,1,20230101,7,11007,4,0,2800
282592,730676,1,20240425,7,11007,4,0,1868
180371,718353,1,20240213,7,11007,4,0,1410.4
48963,618597,1,20220722,7,11007,4,0,7600
107961,638161,1,20221102,7,11007,4,0,2522.35
89702,631748,1,20221003,6,11008,1,0,4147
124332,655938,1,20230101,6,11015,1,0,9246.8
273723,737267,1,20240530,6,11015,1,0,45000
23204,621565,1,20220807,6,11015,1,1422,18063.78
14004,639054,1,20221108,6,11017,1,0,4199.05
112809,692231,1,20230826,6,11017,1,0,-12869
33615,620810,1,20220727,15,11017,2,0,-0.01
19832,597462,2,20220325,16,11017,2,0,100500
24884,620361,1,20220731,6,11017,3,0,0
50191,639146,1,20221108,6,11017,3,0,0
111022,644245,1,20221203,6,11017,3,0,0
28177,665996,1,20230101,7,11017,4,0,1808
277205,771810,1,20241205,7,11017,4,0,3200
224788,699899,1,20231016,7,11017,4,0,2798.4
204259,692663,1,20230828,7,11017,4,3665,15529
210777,719263,1,20240218,7,11017,4,0,2439.2
193203,726429,1,20240331,7,11017,4,296.6,1186.4
256795,731135,1,20240428,6,11020,1,7110,20009.6
208756,718218,1,20240212,6,11020,1,0,0
154963,715132,1,20240125,6,11020,1,0,0
136400,647555,1,20221219,6,11020,1,0,0
61788,676211,1,20230101,6,11020,1,0,15000
143450,668192,1,20230404,6,11020,1,1010,-1010
136036,703595,1,20230927,6,11020,1,0,-20000
163342,667014,1,20230403,6,11020,1,0,0.01
82854,673079,1,20230101,6,11020,1,0,8943.5
106741,688461,1,20230803,6,11020,1,0,-2483
191762,679914,1,20230612,6,11020,1,0,7862.14
161978,688724,1,20230804,12,11020,1,11755,46486.41
57479,627555,1,20220910,6,11020,1,0,6188.48
58484,619598,1,20220727,6,11020,1,0,7577.75
122519,670985,1,20230101,6,11020,1,0,0.01
43190,676040,1,20230101,6,11020,1,4335,16569.91
66239,642224,1,20221124,6,11020,1,0,0
216587,693017,1,20230831,6,11020,1,0,0
337158,765618,1,20241101,6,11020,1,0,0
37490,651006,1,20230106,6,11020,1,0,0
125597,706731,1,20230101,6,11020,1,0,15000
206232,708459,1,20231209,6,11020,1,0,0.01
83058,643230,1,20221128,6,11020,1,0,-25000
2640,640081,1,20221111,6,11020,3,0,10000
116216,642686,1,20221127,6,11020,3,0,18500
21425,621268,1,20220805,6,11020,3,0,0
240617,771371,1,20241202,7,11020,4,0,3200
37256,597828,1,20220328,7,11020,4,0,5920
289256,766094,1,20241104,7,11020,4,0,3200
